transaction_ref,customer_ref,customer_name,customer_success_rate,amount,payment_method,failure_code,retry_count,predicted_recovery_probability,recommended_action,actual_outcome,amount_recovered,timestamp
SIM-TXN-00001,CUST-0493,Amit Joshi,52.59,3631.39,NETBANKING,BANK_ERROR,1,60.0,NOTIFY,FAILED,0.0,2026-08-10 20:33:33.043570
SIM-TXN-00002,CUST-0197,Aditya More,51.11,2185.04,UPI,INSUFFICIENT_FUNDS,0,38.0,ESCALATE,SUCCESS,2185.04,2026-08-18 03:02:33.043570
SIM-TXN-00003,CUST-0295,Rohan Deshmukh,69.65,4097.58,NETBANKING,BANK_TIMEOUT,0,83.0,RETRY,FAILED,0.0,2026-08-31 17:55:33.043570
SIM-TXN-00004,CUST-0203,Amit Joshi,55.07,8253.76,UPI,BANK_TIMEOUT,2,53.0,STOP,NOT_ATTEMPTED,0.0,2026-08-24 09:31:33.043570
SIM-TXN-00005,CUST-0427,Aditya More,78.15,2023.69,NETBANKING,UNKNOWN,0,35.0,ESCALATE,FAILED,0.0,2026-08-17 19:47:33.043570
SIM-TXN-00006,CUST-0113,Amit Joshi,68.49,2023.72,NETBANKING,AUTH_FAILED,2,22.0,STOP,NOT_ATTEMPTED,0.0,2026-08-31 18:58:33.043570
SIM-TXN-00007,CUST-0349,Kunal Patil,59.65,8633.2,UPI,INSUFFICIENT_FUNDS,2,13.0,STOP,NOT_ATTEMPTED,0.0,2026-08-31 04:56:33.043570
SIM-TXN-00008,CUST-0021,Rahul Sharma,88.96,4509.53,WALLET,BANK_ERROR,0,75.0,RETRY,SUCCESS,4509.53,2026-08-07 18:30:33.043570
SIM-TXN-00009,CUST-0047,Aditya More,73.57,1676.43,NETBANKING,UNKNOWN,2,10.0,STOP,NOT_ATTEMPTED,0.0,2026-08-20 16:48:33.043570
SIM-TXN-00010,CUST-0090,Ananya Kulkarni,56.91,3767.05,NETBANKING,BANK_TIMEOUT,2,53.0,STOP,NOT_ATTEMPTED,0.0,2026-08-24 15:03:33.043570
SIM-TXN-00011,CUST-0468,Pooja Jadhav,45.81,1684.57,CARD,BANK_TIMEOUT,1,73.0,RETRY,FAILED,0.0,2026-08-23 17:16:33.043570
SIM-TXN-00012,CUST-0496,Neha Shah,92.64,1681.46,NETBANKING,INSUFFICIENT_FUNDS,0,48.0,ESCALATE,FAILED,0.0,2026-08-05 05:12:33.043570
SIM-TXN-00013,CUST-0073,Amit Joshi,62.18,2961.85,CARD,INSUFFICIENT_FUNDS,2,18.0,STOP,NOT_ATTEMPTED,0.0,2026-08-19 21:02:33.043570
SIM-TXN-00014,CUST-0496,Neha Shah,92.64,528.15,NETBANKING,INSUFFICIENT_FUNDS,0,48.0,ESCALATE,FAILED,0.0,2026-08-02 10:10:33.043570
SIM-TXN-00015,CUST-0136,Neha Shah,47.11,614.04,WALLET,AUTH_FAILED,1,37.0,ESCALATE,FAILED,0.0,2026-08-13 17:19:33.043570
SIM-TXN-00016,CUST-0300,Ananya Kulkarni,75.67,1556.46,NETBANKING,BANK_ERROR,0,70.0,RETRY,SUCCESS,1556.46,2026-08-23 05:56:33.043570
SIM-TXN-00017,CUST-0013,Amit Joshi,59.73,1085.43,NETBANKING,AUTH_FAILED,2,17.0,STOP,NOT_ATTEMPTED,0.0,2026-08-11 20:45:33.043570
SIM-TXN-00018,CUST-0332,Priya Patil,95.25,3138.18,WALLET,BANK_TIMEOUT,2,63.0,STOP,NOT_ATTEMPTED,0.0,2026-08-15 13:02:33.043570
SIM-TXN-00019,CUST-0333,Amit Joshi,57.79,1180.37,CARD,BANK_ERROR,0,65.0,NOTIFY,FAILED,0.0,2026-08-15 15:24:33.043570
SIM-TXN-00020,CUST-0253,Amit Joshi,59.55,788.52,CARD,BANK_TIMEOUT,2,53.0,STOP,NOT_ATTEMPTED,0.0,2026-08-07 23:08:33.043570
SIM-TXN-00021,CUST-0199,Kunal Patil,47.03,7883.44,WALLET,BANK_ERROR,2,40.0,STOP,NOT_ATTEMPTED,0.0,2026-08-08 19:44:33.043570
SIM-TXN-00022,CUST-0454,Sneha Kulkarni,73.54,2037.3,UPI,BANK_ERROR,1,65.0,NOTIFY,SUCCESS,2037.3,2026-08-14 12:31:33.043570
SIM-TXN-00023,CUST-0017,Aditya More,77.0,2576.08,CARD,INSUFFICIENT_FUNDS,1,38.0,ESCALATE,FAILED,0.0,2026-08-12 12:51:33.043570
SIM-TXN-00024,CUST-0438,Pooja Jadhav,79.33,780.71,NETBANKING,BANK_ERROR,2,45.0,STOP,NOT_ATTEMPTED,0.0,2026-08-31 03:17:33.043570
SIM-TXN-00025,CUST-0184,Sneha Kulkarni,86.47,1578.92,NETBANKING,BANK_TIMEOUT,0,88.0,RETRY,FAILED,0.0,2026-08-22 11:38:33.043570
SIM-TXN-00026,CUST-0047,Aditya More,73.57,2667.08,UPI,AUTH_FAILED,0,47.0,ESCALATE,FAILED,0.0,2026-08-12 21:00:33.043570
SIM-TXN-00027,CUST-0065,Rohan Deshmukh,96.51,971.85,CARD,INSUFFICIENT_FUNDS,0,48.0,ESCALATE,FAILED,0.0,2026-08-27 00:18:33.043570
SIM-TXN-00028,CUST-0107,Aditya More,48.21,3296.31,CARD,AUTH_FAILED,1,37.0,ESCALATE,FAILED,0.0,2026-08-28 21:56:33.043570
SIM-TXN-00029,CUST-0002,Priya Patil,57.98,1509.43,CARD,BANK_TIMEOUT,0,78.0,RETRY,SUCCESS,1509.43,2026-08-09 17:33:33.043570
SIM-TXN-00030,CUST-0057,Aditya More,73.04,1932.65,UPI,AUTH_FAILED,0,47.0,ESCALATE,SUCCESS,1932.65,2026-08-12 14:51:33.043570
SIM-TXN-00031,CUST-0302,Priya Patil,66.02,1508.14,CARD,BANK_ERROR,1,65.0,NOTIFY,SUCCESS,1508.14,2026-08-20 22:46:33.043570
SIM-TXN-00032,CUST-0270,Ananya Kulkarni,87.39,10740.99,UPI,BANK_TIMEOUT,1,83.0,RETRY,SUCCESS,10740.99,2026-08-18 06:24:33.043570
SIM-TXN-00033,CUST-0263,Amit Joshi,65.64,2414.39,WALLET,AUTH_FAILED,2,22.0,STOP,NOT_ATTEMPTED,0.0,2026-08-11 20:57:33.043570
SIM-TXN-00034,CUST-0485,Rohan Deshmukh,60.55,1047.15,NETBANKING,AUTH_FAILED,1,42.0,ESCALATE,FAILED,0.0,2026-08-03 04:59:33.043570
SIM-TXN-00035,CUST-0032,Priya Patil,77.28,4712.79,WALLET,UNKNOWN,1,30.0,ESCALATE,FAILED,0.0,2026-08-24 02:28:33.043570
SIM-TXN-00036,CUST-0365,Rohan Deshmukh,66.24,919.04,UPI,UNKNOWN,0,35.0,ESCALATE,FAILED,0.0,2026-08-08 12:59:33.043570
SIM-TXN-00037,CUST-0034,Sneha Kulkarni,53.66,2884.45,NETBANKING,BANK_TIMEOUT,1,73.0,RETRY,FAILED,0.0,2026-08-25 22:28:33.043570
SIM-TXN-00038,CUST-0151,Rahul Sharma,89.19,508.91,WALLET,BANK_ERROR,0,75.0,RETRY,FAILED,0.0,2026-08-06 23:56:33.043570
SIM-TXN-00039,CUST-0437,Aditya More,69.46,843.41,CARD,AUTH_FAILED,1,42.0,ESCALATE,FAILED,0.0,2026-08-12 04:32:33.043570
SIM-TXN-00040,CUST-0212,Priya Patil,62.29,2856.89,WALLET,BANK_ERROR,1,65.0,NOTIFY,SUCCESS,2856.89,2026-08-06 02:49:33.043570
SIM-TXN-00041,CUST-0161,Rahul Sharma,90.2,4406.22,NETBANKING,BANK_ERROR,1,70.0,RETRY,FAILED,0.0,2026-08-23 08:59:33.043570
SIM-TXN-00042,CUST-0035,Rohan Deshmukh,59.31,2799.22,UPI,BANK_TIMEOUT,0,78.0,RETRY,SUCCESS,2799.22,2026-08-18 17:59:33.043570
SIM-TXN-00043,CUST-0416,Neha Shah,66.82,2224.93,UPI,BANK_TIMEOUT,2,58.0,STOP,NOT_ATTEMPTED,0.0,2026-08-27 08:22:33.043570
SIM-TXN-00044,CUST-0288,Pooja Jadhav,56.88,1918.15,UPI,BANK_ERROR,1,60.0,NOTIFY,SUCCESS,1918.15,2026-08-21 00:55:33.043570
SIM-TXN-00045,CUST-0445,Rohan Deshmukh,71.94,747.84,UPI,UNKNOWN,1,30.0,ESCALATE,FAILED,0.0,2026-08-17 19:03:33.043570
SIM-TXN-00046,CUST-0054,Sneha Kulkarni,86.98,1372.14,CARD,AUTH_FAILED,0,52.0,NOTIFY,FAILED,0.0,2026-08-11 23:54:33.043570
SIM-TXN-00047,CUST-0434,Sneha Kulkarni,74.19,1688.32,NETBANKING,BANK_TIMEOUT,0,83.0,RETRY,SUCCESS,1688.32,2026-08-27 22:02:33.043570
SIM-TXN-00048,CUST-0116,Neha Shah,94.1,5685.63,UPI,INSUFFICIENT_FUNDS,2,23.0,STOP,NOT_ATTEMPTED,0.0,2026-08-31 17:29:33.043570
